gene_set gene_symbol
1 SenMayo ACVR1B
2 SenMayo ANG
3 SenMayo ANGPT1
4 SenMayo ANGPTL4
5 SenMayo AREG
6 SenMayo AXL
7 SenMayo BEX3
8 SenMayo BMP2
9 SenMayo BMP6
10 SenMayo C3
11 SenMayo CCL1
12 SenMayo CCL13
13 SenMayo CCL16
14 SenMayo CCL2
15 SenMayo CCL20
16 SenMayo CCL24
17 SenMayo CCL26
18 SenMayo CCL3
19 SenMayo CCL3L1
20 SenMayo CCL4
21 SenMayo CCL5
22 SenMayo CCL7
23 SenMayo CCL8
24 SenMayo CD55
25 SenMayo CD9
26 SenMayo CSF1
27 SenMayo CSF2
28 SenMayo CSF2RB
29 SenMayo CST4
30 SenMayo CTNNB1
31 SenMayo CTSB
32 SenMayo CXCL1
33 SenMayo CXCL10
34 SenMayo CXCL12
35 SenMayo CXCL16
36 SenMayo CXCL2
37 SenMayo CXCL3
38 SenMayo CXCL8
39 SenMayo CXCR2
40 SenMayo DKK1
41 SenMayo EDN1
42 SenMayo EGF
43 SenMayo EGFR
44 SenMayo EREG
45 SenMayo ESM1
46 SenMayo ETS2
47 SenMayo FAS
48 SenMayo FGF1
49 SenMayo FGF2
50 SenMayo FGF7
51 SenMayo GDF15
52 SenMayo GEM
53 SenMayo GMFG
54 SenMayo HGF
55 SenMayo HMGB1
56 SenMayo ICAM1
57 SenMayo ICAM3
58 SenMayo IGF1
59 SenMayo IGFBP1
60 SenMayo IGFBP2
61 SenMayo IGFBP3
62 SenMayo IGFBP4
63 SenMayo IGFBP6
64 SenMayo IGFBP7
65 SenMayo IL10
66 SenMayo IL13
67 SenMayo IL15
68 SenMayo IL18
69 SenMayo IL1A
70 SenMayo IL1B
71 SenMayo IL2
72 SenMayo IL32
73 SenMayo IL6
74 SenMayo IL6ST
75 SenMayo IL7
76 SenMayo INHA
77 SenMayo IQGAP2
78 SenMayo ITGA2
79 SenMayo ITPKA
80 SenMayo JUN
81 SenMayo KITLG
82 SenMayo LCP1
83 SenMayo MIF
84 SenMayo MMP1
85 SenMayo MMP10
86 SenMayo MMP12
87 SenMayo MMP13
88 SenMayo MMP14
89 SenMayo MMP2
90 SenMayo MMP3
91 SenMayo MMP9
92 SenMayo NAP1L4
93 SenMayo NRG1
94 SenMayo PAPPA
95 SenMayo PECAM1
96 SenMayo PGF
97 SenMayo PIGF
98 SenMayo PLAT
99 SenMayo PLAU
100 SenMayo PLAUR
101 SenMayo PTBP1
102 SenMayo PTGER2
103 SenMayo PTGES
104 SenMayo RPS6KA5
105 SenMayo SCAMP4
106 SenMayo SELPLG
107 SenMayo SEMA3F
108 SenMayo SERPINB4
109 SenMayo SEPINE1
110 SenMayo SERPINE2
111 SenMayo SPP1
112 SenMayo SPX
113 SenMayo TIMP2
114 SenMayo TNF
115 SenMayo TNFRSF10C
116 SenMayo TNFRSF11B
117 SenMayo TNFRSF1A
118 SenMayo TNFRSF1B
119 SenMayo TUBGCP2
120 SenMayo VEGFA
121 SenMayo VEGFC
122 SenMayo VGF
123 SenMayo WNT16
124 SenMayo WNT2
