gene_set	gene_symbol
SASP	ANG
SASP	ANGPT1
SASP	ANGPTL4
SASP	BMP2
SASP	BMP6
SASP	C3
SASP	CCL1
SASP	CCL13
SASP	CCL16
SASP	CCL2
SASP	CCL20
SASP	CCL24
SASP	CCL26
SASP	CCL3
SASP	CCL3L1
SASP	CCL4
SASP	CCL5
SASP	CCL7
SASP	CCL8
SASP	CD55
SASP	CSF1
SASP	CSF2
SASP	CST4
SASP	CTSB
SASP	CXCL1
SASP	CXCL10
SASP	CXCL12
SASP	CXCL16
SASP	CXCL2
SASP	CXCL3
SASP	CXCL8
SASP	DKK1
SASP	EDN1
SASP	EREG
SASP	ESM1
SASP	FGF1
SASP	FGF2
SASP	FGF7
SASP	GDF15
SASP	HGF
SASP	IGF1
SASP	IGFBP1
SASP	IGFBP2
SASP	IGFBP3
SASP	IGFBP4
SASP	IGFBP6
SASP	IGFBP7
SASP	IL10
SASP	IL13
SASP	IL15
SASP	IL18
SASP	IL1A
SASP	IL1B
SASP	IL2
SASP	IL32
SASP	IL6
SASP	IL7
SASP	INHA
SASP	MIF
SASP	MMP1
SASP	MMP10
SASP	MMP12
SASP	MMP13
SASP	MMP2
SASP	MMP3
SASP	MMP9
SASP	NRG1
SASP	PAPPA
SASP	PGF
SASP	PLAT
SASP	PLAU
SASP	SEMA3F
SASP	SRPINE1
SASP	SERPINE2
SASP	SPP1
SASP	SPX
SASP	TIMP2
SASP	TNF
SASP	VEGFA
SASP	VEGFC
SASP	VGF
SASP	WNT16
SenMayo	ACVR1B
SenMayo	ANG
SenMayo	ANGPT1
SenMayo	ANGPTL4
SenMayo	AREG
SenMayo	AXL
SenMayo	BEX3
SenMayo	BMP2
SenMayo	BMP6
SenMayo	C3
SenMayo	CCL1
SenMayo	CCL13
SenMayo	CCL16
SenMayo	CCL2
SenMayo	CCL20
SenMayo	CCL24
SenMayo	CCL26
SenMayo	CCL3
SenMayo	CCL3L1
SenMayo	CCL4
SenMayo	CCL5
SenMayo	CCL7
SenMayo	CCL8
SenMayo	CD55
SenMayo	CD9
SenMayo	CSF1
SenMayo	CSF2
SenMayo	CSF2RB
SenMayo	CST4
SenMayo	CTNNB1
SenMayo	CTSB
SenMayo	CXCL1
SenMayo	CXCL10
SenMayo	CXCL12
SenMayo	CXCL16
SenMayo	CXCL2
SenMayo	CXCL3
SenMayo	CXCL8
SenMayo	CXCR2
SenMayo	DKK1
SenMayo	EDN1
SenMayo	EGF
SenMayo	EGFR
SenMayo	EREG
SenMayo	ESM1
SenMayo	ETS2
SenMayo	FAS
SenMayo	FGF1
SenMayo	FGF2
SenMayo	FGF7
SenMayo	GDF15
SenMayo	GEM
SenMayo	GMFG
SenMayo	HGF
SenMayo	HMGB1
SenMayo	ICAM1
SenMayo	ICAM3
SenMayo	IGF1
SenMayo	IGFBP1
SenMayo	IGFBP2
SenMayo	IGFBP3
SenMayo	IGFBP4
SenMayo	IGFBP6
SenMayo	IGFBP7
SenMayo	IL10
SenMayo	IL13
SenMayo	IL15
SenMayo	IL18
SenMayo	IL1A
SenMayo	IL1B
SenMayo	IL2
SenMayo	IL32
SenMayo	IL6
SenMayo	IL6ST
SenMayo	IL7
SenMayo	INHA
SenMayo	IQGAP2
SenMayo	ITGA2
SenMayo	ITPKA
SenMayo	JUN
SenMayo	KITLG
SenMayo	LCP1
SenMayo	MIF
SenMayo	MMP1
SenMayo	MMP10
SenMayo	MMP12
SenMayo	MMP13
SenMayo	MMP14
SenMayo	MMP2
SenMayo	MMP3
SenMayo	MMP9
SenMayo	NAP1L4
SenMayo	NRG1
SenMayo	PAPPA
SenMayo	PECAM1
SenMayo	PGF
SenMayo	PIGF
SenMayo	PLAT
SenMayo	PLAU
SenMayo	PLAUR
SenMayo	PTBP1
SenMayo	PTGER2
SenMayo	PTGES
SenMayo	RPS6KA5
SenMayo	SCAMP4
SenMayo	SELPLG
SenMayo	SEMA3F
SenMayo	SERPINB4
SenMayo	SEPINE1
SenMayo	SERPINE2
SenMayo	SPP1
SenMayo	SPX
SenMayo	TIMP2
SenMayo	TNF
SenMayo	TNFRSF10C
SenMayo	TNFRSF11B
SenMayo	TNFRSF1A
SenMayo	TNFRSF1B
SenMayo	TUBGCP2
SenMayo	VEGFA
SenMayo	VEGFC
SenMayo	VGF
SenMayo	WNT16
SenMayo	WNT2
SASP_Coppe	ANG
SASP_Coppe	AXL
SASP_Coppe	CCL13
SASP_Coppe	CCL16
SASP_Coppe	CCL2
SASP_Coppe	CCL20
SASP_Coppe	CCL26
SASP_Coppe	CCL3
SASP_Coppe	CCL8
SASP_Coppe	CSF2
SASP_Coppe	CXCL1
SASP_Coppe	CXCL2
SASP_Coppe	FAS
SASP_Coppe	FGF2
SASP_Coppe	FGF7
SASP_Coppe	HGF
SASP_Coppe	ICAM1
SASP_Coppe	ICAM3
SASP_Coppe	IGFBP1
SASP_Coppe	IGFBP2
SASP_Coppe	IGFBP4
SASP_Coppe	IGFBP6
SASP_Coppe	IL11
SASP_Coppe	IL13
SASP_Coppe	IL16
SASP_Coppe	IL1B
SASP_Coppe	IL6
SASP_Coppe	IL6ST
SASP_Coppe	IL7
SASP_Coppe	CXCL8
SASP_Coppe	KITLG
SASP_Coppe	LEP
SASP_Coppe	MIF
SASP_Coppe	OSM
SASP_Coppe	PIGF
SASP_Coppe	PLAU
SASP_Coppe	TIMP2
SASP_Coppe	TNFRSF10C
SASP_Coppe	TNFRSF11B
SASP_Coppe	TNFRSF1A
SASP_Coppe	TNFRSF1B
